Global Company Name, Country, Sales, Profit, Assets, Market Value
77 Bank,Japan,9.67e+008,1.772e+008,$90.27 B,$921 M
Chugoku Bank,Japan,1.05e+009,1.722e+008,$88.26 B,$1.38 B
M3,Japan,1.82e+009,6.124e+008,$2.82 B,$22.54 B
Mitsubishi Motors,Japan,1.746e+010,-2.149e+008,$16.17 B,$3.69 B
Pan Pacific International Holdings,Japan,1.614e+010,4.674e+008,$12.34 B,$8.89 B
Daito Trust Construction,Japan,1.415e+010,6.313e+008,$8.13 B,$6.6 B
Alfresa Holdings,Japan,2.351e+010,2.2e+008,$12.09 B,$2.77 B
Bandai Namco Holdings,Japan,7.52e+009,5.457e+008,$6.85 B,$15.24 B
Iyo Bank,Japan,1.17e+009,2.071e+008,$75.19 B,$1.57 B
Juroku  Financial Group,Japan,1.04e+009,1.388e+008,$74.5 B,$626 M
Advantest,Japan,3.56e+009,8.57e+008,$4.01 B,$12.75 B
Hyakugo Bank,Japan,8.63e+008,1.317e+008,$70.08 B,$677 M
Tosoh,Japan,8.06e+009,9.666e+008,$9.29 B,$4.4 B
Showa Denko,Japan,1.292e+010,-1.101e+008,$18.6 B,$3.43 B
Kawasaki Heavy Industries,Japan,1.36e+010,1.76e+007,$17.77 B,$3.08 B
Ogaki Kyoritsu Bank,Japan,7.01e+008,8.7e+007,$66.19 B,$622 M
Electric Power Development,Japan,9.21e+009,6.03e+007,$25.16 B,$2.54 B
Shiga Bank,Japan,8.75e+008,1.747e+008,$65.14 B,$916 M
Suzuken,Japan,2.007e+010,1.368e+008,$11.18 B,$2.61 B
Senshu Ikeda Holdings,Japan,6.3e+008,8.2e+007,$63.1 B,$391 M
Ricoh,Japan,1.607e+010,1.177e+008,$15.29 B,$4.66 B
San-In Godo Bank,Japan,8.06e+008,1.329e+008,$60.81 B,$793 M
Nanto Bank,Japan,6.67e+008,1.153e+008,$60.19 B,$509 M
Toho Bank,Japan,5.25e+008,-1.22e+007,$60.11 B,$398 M
Keiyo Bank,Japan,5.83e+008,9.57e+007,$59.85 B,$493 M
Shimizu,Japan,1.301e+010,4.14e+008,$17.17 B,$4.2 B
Hanwa,Japan,1.858e+010,3.688e+008,$9.63 B,$995 M
Tokyo Kiraboshi Financial Group,Japan,8.3e+008,8.72e+007,$56.78 B,$418 M
Aozora Bank,Japan,1.24e+009,3.236e+008,$55.38 B,$2.36 B
Nippon Steel Trading,Japan,1.762e+010,2.847e+008,$9.58 B,$1.33 B
Kiyo Bank,Japan,7.05e+008,1.708e+008,$51.38 B,$728 M
Hyakujushi Bank,Japan,6.52e+008,9.46e+007,$49.45 B,$383 M
Tokyu Fudosan,Japan,8.64e+009,3.57e+008,$23.04 B,$3.79 B
Yamada Denki,Japan,1.513e+010,5.149e+008,$11.57 B,$2.47 B
Hokkoku Financial Holdings,Japan,7e+008,5.35e+007,$48.35 B,$677 M
Musashino Bank,Japan,5.35e+008,8.22e+007,$47.63 B,$465 M
Yamato Holdings,Japan,1.613e+010,4.333e+008,$10.38 B,$6.93 B
Seiko Epson,Japan,1.024e+010,6.566e+008,$10.46 B,$4.83 B
